Language,Language (local),Wiki,Articles,Wiki Size (bytes),Tokens,In mBERT?
English,English,en,"6,171,405","17,790,269,746","2,622,505,044",y
German,Deutsch,de,"2,488,262","5,717,692,978","946,132,694",y
French,français,fr,"2,255,469","4,816,209,526","823,362,731",y
Japanese,日本語,ja,"1,232,093","3,212,530,306","712,594,813",y
Spanish,español,es,"1,631,829","3,408,456,951","688,970,215",y
Russian,русский,ru,"1,666,830","4,097,700,193","575,335,225",y
Italian,italiano,it,"1,640,420","3,037,272,051","542,009,174",y
Cebuano,Cebuano,ceb,"5,341,531","1,657,840,040","523,789,311",y
Swedish,svenska,sv,"3,652,646","1,546,468,310","360,709,245",y
Portuguese,português,pt,"1,043,975","1,785,004,923","312,091,086",y
Dutch,Nederlands,nl,"2,034,988","1,497,827,562","297,460,303",y
Polish,polski,pl,"1,430,688","1,967,886,978","275,152,255",y
Chinese,中文,zh,"1,151,113","2,031,626,246","269,492,468",y
Ukrainian,українська,uk,"1,047,938","1,594,725,657","262,974,187",y
Catalan,català,ca,"658,953","909,550,734","237,367,425",y
Vietnamese,Tiếng Việt,vi,"1,256,994","752,018,193","180,247,477",y
Arabic,العربية,ar,"1,069,379","1,167,444,494","169,126,089",y
Czech,čeština,cs,"463,666","850,433,425","142,124,285",y
Hebrew,עברית,he,"277,732","681,879,887","139,128,963",y
Hungarian,magyar,hu,"476,628","897,784,736","131,870,740",y
Norwegian (Bokmål),norsk,no,"541,575","616,876,654","109,282,992",y
Persian,فارسی,fa,"748,384","782,385,762","105,621,494",y
Serbian,српски / srpski,sr,"638,812","782,131,662","100,162,403",y
Finnish,suomi,fi,"494,487","713,981,580","98,712,322",y
Indonesian,Bahasa Indonesia,id,"547,825","626,714,235","96,356,452",y
Romanian,română,ro,"412,469","476,959,754","83,624,589",y
Korean,한국어,ko,"522,723","711,916,899","81,063,675",y
Greek,Ελληνικά,el,"182,546","386,429,387","78,796,996",y
Turkish,Türkçe,tr,"367,896","564,679,524","75,354,794",y
Bulgarian,български,bg,"266,159","353,970,472","71,857,586",y
Asturian,asturianu,ast,"107,513","223,318,560","65,983,513",y
Danish,dansk,da,"261,591","339,988,395","65,038,779",y
Serbo-Croatian,srpskohrvatski / српскохрватски,sh,"453,089","377,335,540","58,646,782",y
Croatian,hrvatski,hr,"222,687","268,300,387","54,599,725",y
Galician,galego,gl,"167,417","258,549,709","54,327,028",y
Waray,Winaray,war,"1,264,440","199,329,592","53,814,664",y
Esperanto,Esperanto,eo,"286,180","256,294,754","52,019,987",n
Basque,euskara,eu,"365,301","200,284,649","46,487,007",y
Thai,ไทย,th,"139,917","286,737,886","44,215,268",y
Hindi,हिन्दी,hi,"142,300","164,634,310","43,915,945",y
Slovene,slovenščina,sl,"169,604","218,388,738","42,511,205",y
Bengali,বাংলা,bn,"95,617","214,796,903","42,126,320",y
Tamil,தமிழ்,ta,"131,527","163,955,607","41,522,292",y
Telugu,తెలుగు,te,"69,706","109,134,627","40,619,645",y
Malay,Bahasa Melayu,ms,"343,638","239,773,491","38,876,137",y
Slovak,slovenčina,sk,"234,648","264,456,683","38,600,297",y
